Date,Price
2000-01-31,75175.13498
2000-02-29,75519.17163
2000-03-31,75832.31258
2000-04-30,76435.06142
2000-05-31,76988.99163
2000-06-30,77584.98637
2000-07-31,78177.9845
2000-08-31,78675.08837
2000-09-30,79075.82135
2000-10-31,80104.51257
2000-11-30,81756.41848
2000-12-31,83587.29815
2001-01-31,84920.47467
2001-02-28,85781.5029
2001-03-31,86606.79614
2001-04-30,87360.24721
2001-05-31,88037.23481
2001-06-30,88615.16818
2001-07-31,89096.00821
2001-08-31,89565.68491
2001-09-30,89964.02741
2001-10-31,91014.42053
2001-11-30,92694.05689
2001-12-31,94616.36362
2002-01-31,96191.9401
2002-02-28,96988.27323
2002-03-31,96753.87095
2002-04-30,95944.09645
2002-05-31,95165.22165
2002-06-30,95184.39561
2002-07-31,95429.60439
2002-08-31,95983.11631
2002-09-30,96568.45153
2002-10-31,97812.65974
2002-11-30,99266.22688
2002-12-31,100833.2384
2003-01-31,101871.7942
2003-02-28,102830.2391
2003-03-31,102908.0179
2003-04-30,100483.8295
2003-05-31,97128.78586
2003-06-30,95201.46833
2003-07-31,95691.37418
2003-08-31,96709.89718
2003-09-30,96980.01392
2003-10-31,97702.80529
2003-11-30,98903.54633
2003-12-31,100322.097
2004-01-31,101387.5438
2004-02-29,102061.7686
2004-03-31,102740.3329
2004-04-30,103439.8798
2004-05-31,104355.2234
2004-06-30,105179.2876
2004-07-31,106101.6642
2004-08-31,106884.0892
2004-09-30,108031.832
2004-10-31,109921.9536
2004-11-30,112440.5941
2004-12-31,114962.5972
2005-01-31,116651.5319
2005-02-28,117861.8701
2005-03-31,119440.7833
2005-04-30,121407.3885
2005-05-31,123489.8768
2005-06-30,124902.1926
2005-07-31,126346.3492
2005-08-31,127778.5813
2005-09-30,129443.1324
2005-10-31,131849.1111
2005-11-30,134328.286
2005-12-31,137120.6426
2006-01-31,139078.751
2006-02-28,140708.892
2006-03-31,141686.9507
2006-04-30,142513.6236
2006-05-31,143515.5486
2006-06-30,144609.2841
2006-07-31,145332.1802
2006-08-31,145814.5791
2006-09-30,145540.7428
2006-10-31,145224.3756
2006-11-30,144554.8147
2006-12-31,144552.6691
2007-01-31,144478.092
2007-02-28,144443.6792
2007-03-31,145142.4619
2007-04-30,145849.3899
2007-05-31,146723.1485
2007-06-30,146269.6235
2007-07-31,145577.8212
2007-08-31,144940.1054
2007-09-30,144509.5694
2007-10-31,144926.1233
2007-11-30,145606.664
2007-12-31,146390.9354
2008-01-31,146725.4227
2008-02-29,146730.8475
2008-03-31,146779.5352
2008-04-30,146781.4869
2008-05-31,146375.6715
2008-06-30,145482.4345
2008-07-31,144017.5187
2008-08-31,142508.8679
2008-09-30,141278.7761
2008-10-31,140772.3665
2008-11-30,140591.1608
2008-12-31,139574.334
2009-01-31,137676.0028
2009-02-28,135376.4925
2009-03-31,133997.7985
2009-04-30,132888.8824
2009-05-31,132118.007
2009-06-30,130980.3133
2009-07-31,129686.55
2009-08-31,128251.0323
2009-09-30,127094.2758
2009-10-31,126361.9052
2009-11-30,126012.2333
2009-12-31,125692.0644
2010-01-31,125344.171
2010-02-28,125148.8008
2010-03-31,124882.4876
2010-04-30,124845.4803
2010-05-31,124867.7672
2010-06-30,125331.2155
2010-07-31,125976.2953
2010-08-31,126320.1145
2010-09-30,126703.9472
2010-10-31,126976.2855
2010-11-30,126879.9523
2010-12-31,126410.2333
2011-01-31,125878.2035
2011-02-28,125701.858
2011-03-31,126166.3695
2011-04-30,126760.6468
2011-05-31,127258.6085
2011-06-30,127156.982
2011-07-31,126725.1435
2011-08-31,126532.0286
2011-09-30,126468.9542
2011-10-31,126527.4053
2011-11-30,126528.7896
2011-12-31,126781.6096
2012-01-31,126874.4906
2012-02-29,126880.5805
2012-03-31,127010.3618
2012-04-30,127851.9588
2012-05-31,129520.4952
2012-06-30,131713.7806
2012-07-31,134407.6495
2012-08-31,137109.957
2012-09-30,139955.6417
2012-10-31,141142.069
2012-11-30,140903.9812
2012-12-31,139683.4593
2013-01-31,138960.9998
2013-02-28,139016.5794
2013-03-31,138950.5303
2013-04-30,139163.7299
2013-05-31,139480.31
2013-06-30,140959.3267
2013-07-31,143307.7988
2013-08-31,146385.3005
2013-09-30,150104.1607
2013-10-31,152723.2374
2013-11-30,153921.54
2013-12-31,153404.5789
2014-01-31,152883.0631
2014-02-28,152976.8805
2014-03-31,153661.4416
2014-04-30,155159.8769
2014-05-31,157507.6409
2014-06-30,160008.9473
2014-07-31,162417.1149
2014-08-31,164345.8901
2014-09-30,166750.5509
2014-10-31,168427.0567
2014-11-30,169390.5725
2014-12-31,169260.1439
2015-01-31,168997.044
2015-02-28,169211.5775
2015-03-31,170002.7836
2015-04-30,171920.6554
2015-05-31,174363.8869
2015-06-30,176792.5437
2015-07-31,179430.7192
2015-08-31,182871.7259
2015-09-30,186988.5868
2015-10-31,189849.7338
2015-11-30,190820.4679
2015-12-31,191701.8182
2016-01-31,192754.6689
2016-02-29,194459.6864
2016-03-31,195943.7973
2016-04-30,198315.0305
2016-05-31,201062.2106
2016-06-30,203633.278
2016-07-31,206060.7235
2016-08-31,208649.2
2016-09-30,211228.6173
2016-10-31,212583.1001
2016-11-30,213466.1755
2016-12-31,214760.3132
2017-01-31,216291.5175
2017-02-28,217873.4529
2017-03-31,218686.8612
2017-04-30,220717.8815
2017-05-31,222975.143
2017-06-30,225916.051
2017-07-31,228620.6988
2017-08-31,231603.119
2017-09-30,233957.0142
2017-10-31,
2017-11-30,
2017-12-31,
2018-01-31,
2018-02-28,354942.095
2018-03-31,368979.6699
2018-04-30,379550.9493
2018-05-31,388568.3544
2018-06-30,395921.7737
2018-07-31,402152.077
2018-08-31,407086.1356
2018-09-30,411524.4116
2018-10-31,413025.894
2018-11-30,413119.3454
2018-12-31,410488.3104
2019-01-31,414187.1278
2019-02-28,422629.8492
2019-03-31,436050.2015
2019-04-30,447283.7717
2019-05-31,456116.9441
2019-06-30,463782.3156
2019-07-31,470260.0362
2019-08-31,475163.294
2019-09-30,479022.3587
2019-10-31,480988.6644
2019-11-30,484249.9183
2019-12-31,487861.2126
2020-01-31,495064.4439
2020-02-29,502715.3389
2020-03-31,510903.7127
2020-04-30,517131.3589
2020-05-31,521995.5254
2020-06-30,524914.1277
2020-07-31,528275.6929
2020-08-31,530697.9637
2020-09-30,533580.7003
2020-10-31,536898.5764
2020-11-30,541293.1246
2020-12-31,545362.9607
